t,velL,velR,pwmL,pwmR
8950,4,0,200,0
8960,4,0,200,0
8970,4,0,200,0
8980,4,0,200,0
8990,5,0,200,0
9000,5,0,200,0
9010,6,0,200,0
9020,6,0,200,0
9030,6,0,200,0
9040,6,0,200,0
9050,6,0,200,0
9060,6,0,200,0
9080,5,0,200,0
9090,5,0,200,0
9100,5,0,200,0
9110,5,0,200,0
9120,5,0,200,0
9130,5,0,200,0
9140,5,0,200,0
9150,5,0,200,0
9160,6,0,200,0
9170,6,0,200,0
9180,6,0,200,0
9210,6,0,200,0
9220,6,0,200,0
9240,5,0,200,0
9250,5,0,200,0
9260,5,0,200,0
9270,5,0,200,0
9280,6,0,200,0
9290,6,0,200,0
9300,6,0,200,0
9310,6,0,200,0
9320,6,0,200,0
9330,6,0,200,0
9340,6,0,200,0
9350,6,0,200,0
9370,6,0,200,0
9380,6,0,200,0
9390,6,0,200,0
9400,6,0,200,0
9440,6,0,200,0
9450,6,0,200,0
9460,6,0,200,0
9470,6,0,200,0
9480,6,0,200,0
9500,6,0,200,0
9510,6,0,200,0
9530,6,0,200,0
9540,5,0,200,0
9550,6,0,200,0
9560,6,0,200,0
9570,5,0,200,0
9580,5,0,200,0
9590,5,0,200,0
9600,5,0,200,0
9610,4,0,200,0
9620,5,0,200,0
9630,5,0,200,0
9640,5,0,200,0
9650,4,0,200,0
9660,5,0,200,0
9670,5,0,200,0
9680,5,0,200,0
9690,5,0,200,0
9700,6,0,200,0
9710,6,0,200,0
9720,6,0,200,0
9730,5,0,200,0
9740,6,0,200,0
9750,6,0,200,0
9760,6,0,200,0
9770,5,0,200,0
9780,5,0,200,0
9790,4,0,200,0
9800,4,0,200,0
9810,4,0,200,0
9820,5,0,200,0
9830,6,0,200,0
9840,5,0,200,0
9850,5,0,200,0
9860,6,0,200,0
9870,5,0,200,0
9880,5,0,200,0
9890,5,0,200,0
9900,5,0,200,0
9910,4,0,200,0
9920,5,0,200,0
9930,4,0,200,0
9940,5,0,200,0
9950,5,0,200,0
9960,5,0,200,0
9970,5,0,200,0
9980,5,0,200,0
9990,6,0,200,0
10000,5,0,0,0
10010,5,0,0,0
